"deposition_id","record_id","state","submitted","title","version_doi","concept_doi","doi_url","record_url"
"20363181","20363181","done","True","Cross-Sector Extraction after the Standalone Standard Model Derivation","10.5281/zenodo.20363181","10.5281/zenodo.20363180","https://doi.org/10.5281/zenodo.20363181","https://zenodo.org/records/20363181"
"20338475","20338475","done","True","Metricity as Licensed Description","10.5281/zenodo.20338475","10.5281/zenodo.20338474","https://doi.org/10.5281/zenodo.20338475","https://zenodo.org/records/20338475"
"20323596","20323596","done","True","The Standalone Standard Model Structure from First Principles","10.5281/zenodo.20323596","10.5281/zenodo.20305720","https://doi.org/10.5281/zenodo.20323596","https://zenodo.org/records/20323596"
"20322709","20322709","done","True","Non-Degenerate Construction and the Kernel of Admissibility","10.5281/zenodo.20322709","10.5281/zenodo.19324199","https://doi.org/10.5281/zenodo.20322709","https://zenodo.org/records/20322709"
"20322687","20322687","done","True","Null Propagation as the Causal-Limit Invariant: Why the Speed of Light Is a Metric Representative","10.5281/zenodo.20322687","10.5281/zenodo.18582766","https://doi.org/10.5281/zenodo.20322687","https://zenodo.org/records/20322687"
"20312076","20312076","done","True","Claim Standing and Legitimacy","10.5281/zenodo.20312076","10.5281/zenodo.20312075","https://doi.org/10.5281/zenodo.20312076","https://zenodo.org/records/20312076"
"20277903","20277903","done","True","Non-Instantiability of Gödel Incompleteness in the Unique Admissible Interior (Stand alone version)","10.5281/zenodo.20277903","10.5281/zenodo.20277902","https://doi.org/10.5281/zenodo.20277903","https://zenodo.org/records/20277903"
"20129730","20129730","done","True","The Realized Physical Interior under AASC","10.5281/zenodo.20129730","10.5281/zenodo.20129729","https://doi.org/10.5281/zenodo.20129730","https://zenodo.org/records/20129730"
"20129711","20129711","done","True","Time and Causality from Irreversible Continuation Ordering","10.5281/zenodo.20129711","10.5281/zenodo.20129710","https://doi.org/10.5281/zenodo.20129711","https://zenodo.org/records/20129711"
"20129657","20129657","done","True","Vacuum as Minimal Concrete Persistence Regime","10.5281/zenodo.20129657","10.5281/zenodo.20129656","https://doi.org/10.5281/zenodo.20129657","https://zenodo.org/records/20129657"
"20129617","20129617","done","True","Mass, Inertia, and Persistence Compression","10.5281/zenodo.20129617","10.5281/zenodo.20129616","https://doi.org/10.5281/zenodo.20129617","https://zenodo.org/records/20129617"
